工号姓名,部门,职务,身份证号,性别,出生日期,年龄,学历,入职时间,工龄,签约月工资,月工龄工资,基本月工资,,,,,,
TPY001刀白凤,管理,总经理,110108196301020119,,,,博士,1981年2月,34,40000,,,,,,,,
TPY002丁春秋,行政,文秘,110105198903040128,,,,大专,2012年3月,3,4800,,,,,,,,
TPY003马小翠,管理,研发经理,310108197712121139,,,,硕士,2003年7月,12,12000,,,,,,,,
TPY004马五德,研发,员工,372208197910090512,,,,本科,2003年7月,12,7000,,,,,,,,
TPY005马小翠,人事,员工,110101197209021144,,,,本科,2001年6月,14,6200,,,,,,,,
TPY006于光豪,研发,员工,110108198812120129,,,,本科,2005年9月,10,5500,,,,,,,,
TPY007巴天石,管理,部门经理,410205197412278211,,,,硕士,2001年3月,14,10000,,,,,,,,
TPY008邓百川,管理,销售经理,110102197305120123,,,,硕士,2001年10月,13,18000,,,,,,,,
TPY009风波恶,行政,员工,551018198607301126,,,,本科,2010年5月,5,6000,,,,,,,,
TPY010甘宝宝,研发,员工,372208198510070512,,,,本科,2009年5月,6,6000,,,,,,,,
TPY011公冶乾,研发,员工,410205197908278231,,,,本科,2011年4月,4,5000,,,,,,,,
TPY012木婉清,销售,员工,110106198504040127,,,,大专,2013年1月,2,4500,,,,,,,,
TPY013天狼子,研发,项目经理,370108197802203159,,,,硕士,2003年8月,12,12000,,,,,,,,
TPY014王语嫣,行政,员工,610308198111020379,,,,本科,2009年5月,6,5700,,,,,,,,
TPY015乌老大,管理,人事经理,420316197409283216,,,,硕士,2006年12月,8,15000,,,,,,,,
TPY016无崖子,研发,员工,327018198310123015,,,,本科,2010年2月,5,6000,,,,,,,,
TPY017云岛主,研发,项目经理,110105196810020109,,,,博士,2001年6月,14,18000,,,,,,,,
TPY018云中鹤,销售,员工,110103198111090028,,,,中专,2008年12月,6,4200,,,,,,,,
TPY019止清,行政,员工,210108197912031129,,,,本科,2007年1月,8,5800,,,,,,,,
TPY020白世镜,研发,员工,302204198508090312,,,,硕士,2010年3月,5,8500,,,,,,,,
TPY021包不同,研发,员工,110106198009121104,,,,本科,2010年3月,5,7500,,,,,,,,
TPY022出尘子,行政,员工,110107198010120109,,,,高中,2010年3月,5,4200,,,,,,,,
TPY023冯阿三,研发,员工,412205196612280211,,,,本科,2010年3月,5,6000,,,,,,,,
TPY024兰剑,销售,员工,110108197507220123,,,,本科,2010年3月,5,5200,,,,,,,,
TPY025古笃诚,研发,员工,551018198107210126,,,,本科,2011年1月,4,5500,,,,,,,,
TPY026过彦之,研发,员工,372206197810270512,,,,本科,2011年1月,4,6500,,,,,,,,
TPY027石平,人事,员工,410205197908078231,,,,本科,2011年1月,4,4800,,,,,,,,
TPY028石清露,人事,员工,110104198204140127,,,,本科,2011年1月,4,5900,,,,,,,,
TPY029司空玄,研发,员工,270108197302253159,,,,本科,2011年1月,4,6000,,,,,,,,
TPY030司马林,研发,员工,610008197610020379,,,,本科,2011年1月,4,6500,,,,,,,,
TPY031叶二娘,研发,员工,420016198409183216,,,,本科,2011年1月,4,8000,,,,,,,,
TPY032竹剑,研发,员工,551018198510120013,,,,本科,2011年1月,4,6500,,,,,,,,
TPY033左子穆,研发,员工,110105198412090027,,,,硕士,2011年1月,4,9000,,,,,,,,
TPY034华赫艮,研发,员工,120108197606031029,,,,本科,2011年1月,4,6500,,,,,,,,
